Code,Label
10,Chief executives and legislators
20,General and operations managers
40,Advertising and promotions managers
51,Marketing managers
52,Sales managers
60,Public relations and fundraising managers
101,Administrative services managers
102,Facilities managers
110,Computer and information systems managers
120,Financial managers
135,Compensation and benefits managers
136,Human resources managers
137,Training and development managers
140,Industrial production managers
150,Purchasing managers
160,"Transportation, storage, and distribution managers"
205,"Farmers, ranchers, and other agricultural managers"
220,Construction managers
230,Education and childcare administrators
300,Architectural and engineering managers
310,Food service managers
335,Entertainment and recreation managers
340,Lodging managers
350,Medical and health services managers
360,Natural sciences managers
410,"Property, real estate, and community association managers"
420,Social and community service managers
425,Emergency management directors
440,Other managers
500,"Agents and business managers of artists, performers, and athletes"
510,"Buyers and purchasing agents, farm products"
520,"Wholesale and retail buyers, except farm products"
530,"Purchasing agents, except wholesale, retail, and farm products"
540,"Claims adjusters, appraisers, examiners, and investigators"
565,Compliance officers
600,Cost estimators
630,Human resources workers
640,"Compensation, benefits, and job analysis specialists"
650,Training and development specialists
700,Logisticians
705,Project management specialists
710,Management analysts
725,"Meeting, convention, and event planners"
726,Fundraisers
735,Market research analysts and marketing specialists
750,"Business operations specialists, all other"
800,Accountants and auditors
810,Property appraisers and assessors
820,Budget analysts
830,Credit analysts
845,Financial and investment analysts
850,Personal financial advisors
860,Insurance underwriters
900,Financial examiners
910,Credit counselors and loan officers
930,"Tax examiners and collectors, and revenue agents"
940,Tax preparers
960,Other financial specialists
1005,Computer and information research scientists
1006,Computer systems analysts
1007,Information security analysts
1010,Computer programmers
1021,Software developers
1022,Software quality assurance analysts and testers
1031,Web developers
1032,Web and digital interface designers
1050,Computer support specialists
1065,Database administrators and architects
1105,Network and computer systems administrators
1106,Computer network architects
1108,"Computer occupations, all other"
1200,Actuaries
1220,Operations research analysts
1240,Other mathematical science occupations
1305,"Architects, except landscape and naval"
1306,Landscape architects
1310,"Surveyors, cartographers, and photogrammetrists"
1320,Aerospace engineers
1340,Biomedical and agricultural engineers
1350,Chemical engineers
1360,Civil engineers
1400,Computer hardware engineers
1410,Electrical and electronics engineers
1420,Environmental engineers
1430,"Industrial engineers, including health and safety"
1440,Marine engineers and naval architects
1450,Materials engineers
1460,Mechanical engineers
1520,"Petroleum, mining and geological engineers, including mining safety engineers"
1530,Other engineers
1541,Architectural and civil drafters
1545,Other drafters
1551,Electrical and electronic engineering technologists and technicians
1555,"Other engineering technologists and technicians, except drafters"
1560,Surveying and mapping technicians
1600,Agricultural and food scientists
1610,Biological scientists
1640,Conservation scientists and foresters
1650,Other life scientists
1700,Astronomers and physicists
1710,Atmospheric and space scientists
1720,Chemists and materials scientists
1745,"Environmental scientists and specialists, including health"
1750,"Geoscientists and hydrologists, except geographers"
1760,"Physical scientists, all other"
1800,Economists
1821,Clinical and counseling psychologists
1822,School psychologists
1825,Other psychologists
1840,Urban and regional planners
1860,Other social scientists
1900,Agricultural and food science technicians
1910,Biological technicians
1920,Chemical technicians
1935,"Environmental science and geoscience technicians, and nuclear technicians"
1970,"Other life, physical, and social science technicians"
1980,Occupational health and safety specialists and technicians
2001,Substance abuse and behavioral disorder counselors
2002,"Educational, guidance, and career counselors and advisors"
2003,Marriage and family therapists
2004,Mental health counselors
2005,Rehabilitation counselors
2006,"Counselors, all other"
2011,"Child, family, and school social workers"
2012,Healthcare social workers
2013,Mental health and substance abuse social workers
2014,"Social workers, all other"
2015,Probation officers and correctional treatment specialists
2016,Social and human service assistants
2025,Other community and social service specialists
2040,Clergy
2050,"Directors, religious activities and education"
2060,"Religious workers, all other"
2100,"Lawyers, and judges, magistrates, and other judicial workers"
2105,Judicial law clerks
2145,Paralegals and legal assistants
2170,"Title examiners, abstractors, and searchers"
2180,"Legal support workers, all other"
2205,Postsecondary teachers
2300,Preschool and kindergarten teachers
2310,Elementary and middle school teachers
2320,Secondary school teachers
2330,Special education teachers
2350,Tutors
2360,Other teachers and instructors
2400,"Archivists, curators, and museum technicians"
2435,Librarians and media collections specialists
2440,Library technicians
2545,Teaching assistants
2555,Other educational instruction and library workers
2600,Artists and related workers
2631,Commercial and industrial designers
2632,Fashion designers
2633,Floral designers
2634,Graphic designers
2635,Interior designers
2636,Merchandise displayers and window trimmers
2640,Other designers
2700,Actors
2710,Producers and directors
2721,Athletes and sports competitors
2722,Coaches and scouts
2723,"Umpires, referees, and other sports officials"
2740,Dancers and choreographers
2751,Music directors and composers
2752,Musicians and singers
2755,"Disc jockeys, except radio"
2770,"Entertainers and performers, sports and related workers, all other"
2805,Broadcast announcers and radio disc jockeys
2810,"News analysts, reporters, and journalists"
2825,Public relations specialists
2830,Editors
2840,Technical writers
2850,Writers and authors
2861,Interpreters and translators
2862,Court reporters and simultaneous captioners
2865,"Media and communication workers, all other"
2905,Other media and communication equipment workers
2910,Photographers
2920,"Television, video, and film camera operators and editors"
3000,Chiropractors
3010,Dentists
3030,Dietitians and nutritionists
3040,Optometrists
3050,Pharmacists
3090,Physicians
3100,Surgeons
3110,Physician assistants
3120,Podiatrists
3140,Audiologists
3150,Occupational therapists
3160,Physical therapists
3200,Radiation therapists
3210,Recreational therapists
3220,Respiratory therapists
3230,Speech-language pathologists
3245,Other therapists
3250,Veterinarians
3255,Registered nurses
3256,Nurse anesthetists
3258,"Nurse practitioners, and nurse midwives"
3261,Acupuncturists
3270,"Healthcare diagnosing or treating practitioners, all other"
3300,Clinical laboratory technologists and technicians
3310,Dental hygienists
3321,Cardiovascular technologists and technicians
3322,Diagnostic medical sonographers
3323,Radiologic technologists and technicians
3324,Magnetic resonance imaging technologists
3330,Nuclear medicine technologists and medical dosimetrists
3401,Emergency medical technicians
3402,Paramedics
3421,Pharmacy technicians
3422,Psychiatric technicians
3423,Surgical technologists
3424,Veterinary technologists and technicians
3430,Dietetic technicians and ophthalmic medical technicians
3500,Licensed practical and licensed vocational nurses
3515,Medical records specialists
3520,"Opticians, dispensing"
3545,Miscellaneous health technologists and technicians
3550,Other healthcare practitioners and technical occupations
3601,Home health aides
3602,Personal care aides
3603,Nursing assistants
3605,Orderlies and psychiatric aides
3610,Occupational therapy assistants and aides
3620,Physical therapist assistants and aides
3630,Massage therapists
3640,Dental assistants
3645,Medical assistants
3646,Medical transcriptionists
3647,Pharmacy aides
3648,Veterinary assistants and laboratory animal caretakers
3649,Phlebotomists
3655,Other healthcare support workers
3700,First-line supervisors of correctional officers
3710,First-line supervisors of police and detectives
3720,First-line supervisors of firefighting and prevention workers
3725,"Miscellaneous first-line supervisors, protective service workers"
3740,Firefighters
3750,Fire inspectors
3801,Bailiffs
3802,Correctional officers and jailers
3820,Detectives and criminal investigators
3840,Fish and game wardens and parking enforcement officers
3870,Police officers
3900,Animal control workers
3910,Private detectives and investigators
3930,Security guards and gaming surveillance officers
3940,Crossing guards and flaggers
3945,Transportation security screeners
3946,School bus monitors
3960,Other protective service workers
4000,Chefs and head cooks
4010,First-line supervisors of food preparation and serving workers
4020,Cooks
4030,Food preparation workers
4040,Bartenders
4055,Fast food and counter workers
4110,Waiters and waitresses
4120,"Food servers, nonrestaurant"
4130,Dining room and cafeteria attendants and bartender helpers
4140,Dishwashers
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop"
4160,"Food preparation and serving related workers, all other"
4200,First-line supervisors of housekeeping and janitorial workers
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
4220,Janitors and building cleaners
4230,Maids and housekeeping cleaners
4240,Pest control workers
4251,Landscaping and groundskeeping workers
4252,Tree trimmers and pruners
4255,Other grounds maintenance workers
4330,Supervisors of personal care and service workers
4340,Animal trainers
4350,Animal caretakers
4400,Gambling services workers
